position,person,personID,start,end
President,Hosni Mubarak,Q34105,1981-10-14,2011-02-11
President,Mohamed Morsi,Q4631,2012-06-30,2013-07-03
President,Adly Mansour,Q13593432,2013-07-03,2014-06-08
President,Abdel Fattah el-Sisi,Q307871,2014-06-08,
Vice President,Omar Suleiman,Q223568,2011-01-29,2011-02-11
Vice President,Mohamed ElBaradei,Q133308,2013-07-14,2013-08-14
Prime Minister,Atef Ebeid,Q559232,1999-10-05,2004-07-14
Prime Minister,Ahmed Nazif,Q220296,2004-07-14,2011-01-28
Prime Minister,Ahmed Shafik,Q294765,2011-01-29,2011-03-03
Prime Minister,Essam Sharaf,Q57680,2011-03-03,2011-11-21
Prime Minister,Kamal Ganzouri,Q365922,2011-12-07,2012-08-02
Prime Minister,Hesham Qandil,Q57728,2012-08-02,2013-07-03
Prime Minister,Hazem Al Beblawi,Q1592085,2013-07-09,2014-03-01
Prime Minister,Ibrahim Mahlab,Q15830552,2014-06-17,2015-09-19
Prime Minister,Sherif Ismail,Q16250142,2015-09-19,2018-06-14
Prime Minister,Moustafa Madbouly,Q54901515,2018-06-14,
Minister of Agriculture,Ezz el-Din Abu-Steit,Q110559059,2018-06-14,2019-12
Minister of Agriculture,El-Said Marzouq El-Qosair,Q110559086,2019-12-22,
Minister of Civil Aviation,Younes Hamed,Q15871893,2018-06-14,2019-12-22
Minister of Civil Aviation,Mohamed Manar,Q110559196,2019-12-22,
Minister of Communications,Tarek Kamel,Q2394088,2004-07-14,2011-02-22
Minister of Communications,Magued Osman,Q6732502,2011-02,2011-07-21
Minister of Communications,Mohamed Abd-el-Kader Salem,Q3083038,2011-07-21,2012-08-02
Minister of Communications,Hany Mahmoud,Q1764612,2012-08-02,2013-01-05
Minister of Communications,Atef Helmy,Q3094223,2013-01-05,2013-07-01
Minister of Communications,Atef Helmy,Q3094223,2013-07,2015-03
Minister of Communications,Khaled Negm,Q21062657,2015-03,2015-09-19
Minister of Communications,Yasser ElKady,Q8049885,2015-09-19,2018-06-14
Minister of Communications,Amr Talaat,Q55096335,2018-06-14,
Minister of Culture,Gaber Asfour,Q5515376,2011-02-01,2011-02-09
Minister of Culture,Gaber Asfour,Q5515376,2014-06-17,2015-03-05
Minister of Culture,Ines Abdel-Dayem,Q56690584,2018-01-14,
Minister of Defence,Mohamed Hussein Tantawi,Q45917,1991-05-20,2012-08-12
Minister of Defence,Abdel Fattah el-Sisi,Q307871,2012-08-12,2014-03-26
Minister of Defence,Sedki Sobhi,Q4116437,2014-03-27,2018-06-14
Minister of Defence,Mohamed Ahmed Zaki,Q55196900,2018-06-14,
Minister of Education,Ahmed Zaki Badreldin,Q4696067,2010-01-02,2011-01-26
Minister of Education,Ahmed Gamal El-Din Moussa,Q2827556,2011-01-26,2011-12
Minister of Education,Gamal El-Araby,Q12205857,2011-12-07,2012-07
Minister of Education,Ibrahim Deif,Q12181524,2012-08-02,2013-07-16
Minister of Education,Mahmoud Abo El-Nasr,Q16121731,2013-07-16,2015-09
Minister of Education,Tarek Shawki,Q7685778,2017-02,
Minister of Electricity and Renewable Energy,Mohamed Shaker El-Markabi,Q37530705,2014-03-01,
Minister of the Environment,Yasmine Fouad,Q60564408,2018-06-14,
Minister of Finance,Youssef Boutros Ghali,Q1860288,2004-06-01,2011-01-31
Minister of Finance,Samir Radwan,Q7409539,2011-01-31,2011-07-17
Minister of Finance,Hazem Al Beblawi,Q1592085,2011-07-17,2011-12
Minister of Finance,Momtaz El-Saeed,Q6897512,2011-12,2013-01-05
Minister of Finance,Morsi El Sayed Hegazy,Q14393586,2013-01-05,2013-05-07
Minister of Finance,Fayyad Abdel Moneim,Q14942507,2013-05-07,2013-07-16
Minister of Finance,Ahmed Galal,Q14942406,2013-07-16,2014-03-01
Minister of Finance,Mohamed Maait,Q55392139,2018-06-14,
Minister of Foreign Affairs,Amr Moussa,Q381113,1991-05-20,2001-05-15
Minister of Foreign Affairs,Ahmad Maher,Q401372,2001-05-15,2004-07-11
Minister of Foreign Affairs,Ahmed Aboul Gheit,Q58108,2004-05-11,2011-03-06
Minister of Foreign Affairs,Nabil Elaraby,Q456346,2011-03-06,2011-06-01
Minister of Foreign Affairs,Mohamed Orabi,Q537159,2011-06-18,2011-07-18
Minister of Foreign Affairs,Mohamed Kamel Amr,Q58139,2011-07-18,2013-07-16
Minister of Foreign Affairs,Nabil Fahmi,Q12247944,2013-07-16,2014-06-17
Minister of Foreign Affairs,Sameh Shoukry,Q7409268,2014-06-17,
Minister of Health,Ahmed Sameh Farid,Q43133038,2011-01-30,2011-02-21
Minister of Health,Hala Mustafa Zaid,Q60564405,2018-06-14,
Minister of Higher Education and Scientific Research,Khaled Abdel Ghaffar,Q47161155,2017-02-16,
Minister of Housing,Assem el Gazzar,Q62625128,2019-02-13,
Minister of Immigration and Expatriates Affairs,Nabila Makram,Q22929983,2015-09-09,
Minister of Industry and Foreign Trade,Neveen Gameea,Q110559111,2019-12-22,
Minister of the Interior,Mahmoud Tawfik,Q55196920,2018-06-14,
Minister of International Cooperation,Sahar Nasr,Q22932964,2015-09-15,2019-12-22
Minister of International Cooperation,Rania Al-Mashat,Q30081060,2019-12-22,
Minister of Justice,Ahmed El-Zend,Q12178578,2015-05-20,2016-03-14
Minister of Justice,Omar Marwan,Q85201850,2019-12-22,
Minister of Local Development,Mohamed Abdul Salam Mahgoub,Q6890951,2006-08-27,2022-01-31
Minister of Local Development,Mahmoud Youssry Shaarawy,Q55979650,2018-06-14,
Minister of Manpower,Mohammad Mahmoud Ahmad,Q28936391,2016-03-23,
Minister of Parliamentary Affairs,Alaa Fouad Abo El Hasan,Q110559305,2019-12-22,
Minister of Petroleum and Mineral Resources,Tarek El-Molla,Q22688588,2015-09-19,
Minister of Planning and Economic Development,Hala Helmy Al-Saeed,Q20425623,2019-12-22,
Minister of Public Works,Hisham Tawfik,Q110559131,2018-06-14,
Minister of Religious Endowment,Mahmoud Zakzouk,Q1758117,1995,2011
Minister of Religious Endowment,Mukhtar Gomaa,Q16121307,2013-07-16,
Minister of Social Solidarity,Ghada Fathi Waly,Q20396204,2014-02,2019-11-24
Minister of Social Solidarity,Neveen El Kabaag,Q110559019,2019-12-22,
Minister of Supply,Ali el-Moselhi,Q28923642,2017-02-16,
Minister of Tourism,Hisham Zazou,Q5772583,2012-08-02,2015-03-05
Minister of Tourism,Hisham Zazou,Q5772583,2015-09-19,2016-03-23
Minister of Tourism,Rania Al-Mashat,Q30081060,2018-01-14,2019-12
Minister of Tourism,Khaled El-Enany,Q28715049,2019-12-22,
Minister of Transport,Kamel El-Wazir,Q23907945,2019-03-11,
Minister of Water Resources and Irrigation,Mohamed Abdel-Aaty,Q110559038,2018-07-07,
Minister of Youth and Sports,Ashraf Sobhy,Q60836776,2018-06-14,
Minister of State for Information,Osama Heikal,Q2032535,2019-12-22,2021-04-25
Minister of State for Military Production,Mohamed Ahmed Morsy,Q110559551,2020-07-06,
Prosecutor General,Hisham Barakat,Q15056770,2013-07-10,2015-06-29
Prosecutor General,Zakaria Abdel-Aziz Osman,Q22929972,2015-09,2019-09
Prosecutor General,Hamada El-Sawy,Q110560022,2019-09-12,
Speaker of the House of Representatives,Ahmad Fathi Sorour,Q401240,1990-12-13,2011-02-13
Speaker of the House of Representatives,Saad El-Katatni,Q1676180,2012-01-23,2012-09-22
Speaker of the House of Representatives,Ali Abdel Aal,Q22688906,2016-01-10,2021-01-12
Speaker of the House of Representatives,Hanafy El Gebaly,Q108128558,2021-01-12,
Governor of the Central Bank,Tarek Amer,Q25939185,2015-11-27,
Chief of the General Staff,Abd Rab el-Nabi,Q12224134,1981-03-04,2022-03-23
Chief of the General Staff,Magdy Hatata,Q12238852,1995-10-31,2001-10-31
Chief of the General Staff,Hamdi Wheiba,Q12208794,2001-10-31,2005-10-29
Chief of the General Staff,Sami Hafez Anan,Q926820,2005-10-30,2012-08-12
Chief of the General Staff,Sedki Sobhi,Q4116437,2012-08-12,2014-03-27
Chief of the General Staff,Mahmoud Hegazy,Q12241226,2014-03-27,2017-10-28
Chief of the General Staff,Mohammed Farid Hegazy,Q20423204,2017-10-28,
First Lady,Entissar Amer,Q17198126,2014-06-08,
ambassador to France,Nasser Kamel,Q19604462,2006,2012
ambassador to Germany,Mohamed Orabi,Q537159,2001,2008
ambassador to Germany,Ramzy Ezzeldin Ramzy,Q16186436,2008,2012
ambassador to Germany,Badr Abdelatty,Q93447756,2015-09,
ambassador to Germany,Khaled Galal Abdelhamid,Q112942025,2019-10-24,
ambassador to Japan,Hisham Mohamed Mostafa Badr,Q51024417,2003,2007
ambassador to Japan,Ayman Aly Kamel,Q47266334,2017-10,2021-10
ambassador to Russia,Ezzat Saad,Q5423458,2006-04-13,
ambassador to the United Kingdom,Nasser Kamel,Q19604462,2014,2018
