item,itemLabel,startDate,endDate
,Погос-бей Юсефян,1826,1844
,Артин-бей Шукри,1844,1850
,Эстефан-бей Ресми,1850,1858
,Нубар Нубарян-паша,1858,1879-02-23
,Али аль-Факкар-паша,1879-03-22,1879-04-07
,Мухаммед Шариф-паша,1879-04-07,1879-08-18
,Мустафа Фахми-паша,1879-08-18,1882-06-17
,Исмаил Рагиб-паша,1882-06-17,1882-08-21
,Мухаммед Шариф-паша,1882-08-28,1884-01-10
,Нубар Нубарян-паша,1884-01-10,1888-06-09
,Аль аль-Факкар-паша,1888-06-11,1891-05-12
,Техран-паша,1891-05-14,1894-04-15
Q262642,Бутрос Гали,1894-04-16,1910-02-23
,Хусейн Рушди-паша,1910-02-23,1912-04-15
,Юсуф Вахба-паша,1912-04-15,1914-04-15
,Адли Якан-паша,1914-04-15,1912-12-19
,Абдель Халек Сарват-паша,1922-03-01,1922-01-29
,Махмуд Фахри-паша,1922-11-30,1923-02-09
,Ахмед Эсмат-паша,1923-03-15,1923-08-06
,Мухаммед Тауфик Рифаат-паша,1923-08-06,1924-01-27
,Васеф Бутрос Гали Эфенди,1924-01-28,1924-11-24
,Ахмед Зивар-паша,1924-11-24,1926-06-07
,Абдель Халек Сарват-паша,1926-06-07,1927-04-21
,Муркос Ханна-паша,1927-04-21,1928-03-16
,Васеф Бутрос Гали-паша,1928-03-16,1928-06-25
,Хафез Афифи-бей,1928-06-27,1929-10-02
,Ахмед Мидхат Якан-паша,1929-10-04,1930-01-01
,Васеф Бутрос Гали-паша,1930-01-01,1930-06-19
,Хафез Афифи-бей,1930-06-20,1930-07-12
,Абдель Фаттах Яхья-паша,1930-07-12,1933-01-04
,Нахла эль-Мотей-паша,1933-01-04,1933-07-10
,Салиб Сами-бей,1933-07-10,1933-09-27
,Абдель Фаттах Яхья-паша,1933-09-27,1934-11-04
,Камель Ибрагим-паша,1934-11-15,1935-02-18
,Абдель Азиз Эззат-паша,1935-02-18,1936-01-30
Q733972,Али Махир-паша,1936-01-30,1936-05-09
,Васеф Бутрос Гали-паша,1936-05-10,1937-12-30
,Абдель Фаттах Яхья-паша,1937-12-30,1939-08-18
Q733972,Али Махир-паша,1939-08-18,1940-06-27
,Хасан Сабри-паша,1940-06-28,1940-11-14
Q4116118,Хусейн Сирри-паша,1940-11-15,1941-06-26
,Салиб Сами-бей,1941-06-26,1942-02-04
,Мустафа Наххас-паша,1942-02-06,1944-10-08
,Махмуд Фахми Нукраши-паша,1944-10-09,1945-03-07
,Абдель Хамид Бадави-паша,1945-03-07,1946-02-15
,Ахмед Лютфи эль-Сайед-паша,1946-02-17,1946-09-11
,Ибрагим Абдель Хади-паша,1946-09-11,1946-12-09
,Махмуд Фахми Нукраши-паша,1946-12-09,1947-11-19
,Ахмед Мухаммед Хашаба-паша,1947-11-19,1948-12-28
,Ибрагим Десуки Абаза-паша,1948-12-28,1949-02-27
,Ахмед Мухаммед Хашаба-паша,1949-02-27,1949-07-25
Q4116118,Хусейн Сирри-паша,1949-07-27,1950-01-12
,Мухаммед Салах эд-Дин-бей,1950-01-12,1952-01-27
Q733972,Али Махир-паша,1952-01-27,1952-03-01
Q307784,Мухаммед Абдель Халек Хассуна-паша,1952-03-02,1952-07-02
Q4116118,Хусейн Сирри-паша,1952-07-02,1952-07-22
Q307784,Мухаммед Абдель Халек Хассуна-паша,1952-07-22,1952-07-24
Q733972,Али Махир-паша,1952-07-24,1952-09-07
,Ахмед Фараг Тайя,1952-09-07,1952-12-09
Q699336,Махмуд Фавзи,1952-12-09,1964-03-24
Q1884962,Махмуд Риад,1964-03-24,1972-01-17
Q1662552,Мухаммед Мурад Галеб,1972-01-17,1972-09-08
Q11241394,Мухаммед Хасан эль-Зайят,1972-09-08,1973-10-31
Q6084719,Исмаил Фахми,1973-10-31,1977-11-17
Q1257,Бутрос Бутрос Гали,1977-11-17,1991-12-31
Q6932507,Мухаммад Ибрагим Камель,1977-12-15,1978-09-17
Q403740,Мустафа Халиль,1979-02-17,1980-05-14
Q1722834,Камаль Хасан Али,1980-05-14,1984-06-05
Q646776,Ахмед Исмат Абдель Магид,1984-06-05,1991-05-20
Q381113,Амр Муса,1991-05-20,2001-05-15
Q401372,Ахмед Махер эль-Сайед,2001-05-15,2004-07-11
Q58108,Ахмед Абуль Гейт,2004-05-11,2011-03-06
Q456346,Набиль аль-Араби,2011-03-06,2011-06-01
,Мухаммед Ораби,2011-06-18,2011-07-18
Q58139,Мухаммед Камель Амр,2011-07-18,2013-07-16
,Набиль Фахми,2013-07-16,2014-06-17
Q7409268,Самех Шукри,2014-06-17,
